name,stage,lat,lon
Lead: (Kimco) KIMCO - Mary Brickell Village,Lead,25.765,-80.1938889
Lead: (Kimco) KIMCO - McAllen Center,Lead,26.195749,-98.232587
Lead: (Kimco) KIMCO - McQueen Crossings S.C.,Lead,39.5283939,-119.8816076
Lead: (Kimco) KIMCO - Meadowbrook Commons,Lead,40.6564489,-73.5719832
Lead: (Kimco) KIMCO - Memorial Plaza,Lead,41.1341571,-73.7928716
Lead: (Kimco) KIMCO - Mendenhall Commons,Lead,35.1163452,-89.8942138
Lead: (Kimco) KIMCO - Merchant's Square Pads,Lead,,
Lead: (Kimco) KIMCO - Merchants Walk,Lead,27.9983159,-81.9590645
Lead: (Kimco) KIMCO - Meridian Town Center,Lead,47.1474784,-122.2929453
Lead: (Kimco) KIMCO - Merrick Commons,Lead,40.6527179,-73.5601009
Lead: (Kimco) KIMCO - Mesa Riverview,Lead,33.4334685,-111.8700389
Lead: (Kimco) KIMCO - Met Fresh,Lead,,
Lead: (Kimco) KIMCO - Metro Square,Lead,33.5827404,-112.1195483
Lead: (Kimco) KIMCO - Mill Basin Plaza,Lead,40.6119661,-73.9165638
Lead: (Kimco) KIMCO - Mill St. Plaza,Lead,42.2473417,-71.8323539
Lead: (Kimco) KIMCO - Mill Station,Lead,39.4062432,-76.7903778
Lead: (Kimco) KIMCO - Millenia Plaza,Lead,28.4854599,-81.4315609
Lead: (Kimco) KIMCO - Miller Road S.C.,Lead,25.7155327,-80.3455487
Lead: (Kimco) KIMCO - Miller West Plaza,Lead,25.7147153,-80.4482268
Lead: (Kimco) KIMCO - Milleridge Inn,Lead,40.7915608,-73.5377635
Lead: (Kimco) KIMCO - Milwaukie Marketplace,Lead,45.4431899,-122.6268065
Lead: (Kimco) KIMCO - Mineola Crossings,Lead,40.7555807,-73.6238954
Lead: (Kimco) KIMCO - Mission Bay Plaza,Lead,26.3700995,-80.2052463
Lead: (Kimco) KIMCO - Mission Bell S.C.,Lead,28.0634198,-82.5012819
Lead: (Kimco) KIMCO - Monte Vista Village Center,Lead,33.3780023,-111.6377438
Lead: (Kimco) KIMCO - Montebello Town Square,Lead,34.0331528,-118.0936959
Lead: (Kimco) KIMCO - Montgomery Plaza,Lead,32.7533607,-97.3528999
Lead: (Kimco) KIMCO - Montgomery Square,Lead,,
Lead: (Kimco) KIMCO - Mooresville Crossing,Lead,35.5945971,-80.87474
Lead: (Kimco) KIMCO - Morena Plaza,Lead,32.8226445,-117.2252631
Lead: (Kimco) KIMCO - Morrissey Plaza,Lead,42.2974898,-71.0498751
Lead: (Kimco) KIMCO - Mountain Square,Lead,34.090222,-117.6683849
Lead: (Kimco) KIMCO - Mountain Valley,Lead,,
Lead: (Kimco) KIMCO - Mueller Regional Retail Center,Lead,30.3057763,-97.7097641
Lead: (Kimco) KIMCO - Munsey Park Plaza,Lead,40.7948773,-73.6846076
Lead: (Kimco) KIMCO - Nasa Plaza,Lead,28.0947782,-80.6199077
Lead: (Kimco) KIMCO - New Hope Commons,Lead,35.9543995,-78.9972535
Lead: (Kimco) KIMCO - Newnan Pavilion,Lead,33.3978099,-84.7400924
Lead: (Kimco) KIMCO - Newtown S.C.,Lead,41.4071507,-73.4149887
Lead: (Kimco) KIMCO - Norriton Square,Lead,40.1402065,-75.3081316
Lead: (Kimco) KIMCO - North Ave. Plaza,Lead,42.4968079,-71.0702977
Lead: (Kimco) KIMCO - North Brunswick Plaza,Lead,40.4613931,-74.4647429
Lead: (Kimco) KIMCO - North County Plaza,Lead,33.1783766,-117.3381418
Lead: (Kimco) KIMCO - North Creek Plaza,Lead,27.5708176,-99.5003707
Lead: (Kimco) KIMCO - North Decatur Station,Lead,33.7926118,-84.2842493
Lead: (Kimco) KIMCO - North Massapequa S.C.,Lead,40.6910602,-73.4791416
Lead: (Kimco) KIMCO - North Quincy Plaza,Lead,42.2704101,-71.0235567
Lead: (Kimco) KIMCO - North Sharyland Crossing,Lead,26.2004232,-98.2848954
Lead: (Kimco) KIMCO - North Shore Triangle,Lead,40.8679817,-73.6312477
Lead: (Kimco) KIMCO - North Towne Plaza - Albuquerque,Lead,35.1463717,-106.5559212
Lead: (Kimco) KIMCO - North Towne Plaza - Brownsville,Lead,,
Lead: (Kimco) KIMCO - North Valley S.C.,Lead,33.6359561,-112.2298117
Lead: (Kimco) KIMCO - Northborough Crossing,Lead,42.2918963,-71.6728775
Lead: (Kimco) KIMCO - Northcross S.C.,Lead,,
Lead: (Kimco) KIMCO - Northport Center,Lead,40.8400114,-73.3194722
Lead: (Kimco) KIMCO - Northridge S.C. â Arvada,Lead,39.839635,-105.085349
Lead: (Kimco) KIMCO - Northridge S.C. â Oakland Park,Lead,26.1909664,-80.1343098
Lead: (Kimco) KIMCO - Northwoods S.C.,Lead,35.8016569,-78.7850804
Lead: (Kimco) KIMCO - Novato Fair S.C.,Lead,38.1030111,-122.571312
Lead: (Kimco) KIMCO - Oak Forest,Lead,29.8288594,-95.4320619
Lead: (Kimco) KIMCO - Oak Tree Plaza,Lead,27.7814353,-82.7188797
Lead: (Kimco) KIMCO - Oakwood Business Center,Lead,26.0383987,-80.1612597
Lead: (Kimco) KIMCO - Oakwood Plaza North & South,Lead,26.0417906,-80.1604414
Lead: (Kimco) KIMCO - Ocean Plaza,Lead,40.2385217,-74.038426
Lead: (Kimco) KIMCO - Old Navy - McAllen,Lead,26.1871832,-98.2365596
Lead: (Kimco) KIMCO - Old Town Plaza,Lead,38.8477142,-77.305286
Lead: (Kimco) KIMCO - Old Towne Village,Lead,36.265031,-86.7126996
Lead: (Kimco) KIMCO - Olentangy Plaza,Lead,40.0614994,-83.0402835
Lead: (Kimco) KIMCO - Palm Plaza S.C.,Lead,37.999772,-121.2923088
Lead: (Kimco) KIMCO - Palms at Town & Country,Lead,25.6899879,-80.3840086
Lead: (Kimco) KIMCO - Paradise Plaza,Lead,38.3394241,-75.0810829
Lead: (Kimco) KIMCO - Park Hill Plaza,Lead,25.7698203,-80.3514038
Lead: (Kimco) KIMCO - Park Place S.C.,Lead,35.8040976,-78.811048
Lead: (Kimco) KIMCO - Parkway Shops,Lead,30.4829311,-81.6377943
Lead: (Kimco) KIMCO - Parkway Super Center,Lead,47.4460009,-122.2613039
Lead: (Kimco) KIMCO - Patriots Plaza,Lead,38.8834633,-77.0170483
Lead: (Kimco) KIMCO - Pavilions Centre,Lead,47.3205662,-122.3146983
Lead: (Kimco) KIMCO - Pavilions Place,Lead,33.725331,-117.9873913
